feature_name,value,summary_kind
heuristic_role_rank,0.096875,permutation_importance
energy_fibre_kcal,0.015625,permutation_importance
carbohydrate,0.008203,permutation_importance
vitamin_c,0.006641,permutation_importance
commonality_rank,0.005859,permutation_importance
days,0.005859,permutation_importance
purchase_unit=crown,0.001953,permutation_importance
regional_price_high,0.001172,permutation_importance
fiber,0.000391,permutation_importance
available_food_count,0.0,permutation_importance
bls_area_code=0,0.0,permutation_importance
bls_area_code=100,0.0,permutation_importance
bls_area_code=200,0.0,permutation_importance
bls_area_code=300,0.0,permutation_importance
bls_area_code=400,0.0,permutation_importance
bls_area_price_reference,0.0,permutation_importance
bls_national_price_reference,0.0,permutation_importance
breakfast_friendly,0.0,permutation_importance
budget_friendly_preference,0.0,permutation_importance
budget_score,0.0,permutation_importance
calcium_score,0.0,permutation_importance
cold_only,0.0,permutation_importance
dairy_free,0.0,permutation_importance
dairy_free_preference,0.0,permutation_importance
default_serving_g,0.0,permutation_importance
fiber_score,0.0,permutation_importance
food_family=dairy,0.0,permutation_importance
food_family=fat,0.0,permutation_importance
food_family=grain,0.0,permutation_importance
food_family=legume,0.0,permutation_importance
