backend,trial_index,random_seed,fit_seconds,hyperparameters_json,validation_row_count,validation_positive_rate,validation_average_precision,validation_roc_auc,validation_log_loss,validation_brier_score,validation_role_hit_rate_at_budget,validation_role_recall_at_budget,validation_role_exact_match_rate,validation_role_mean_jaccard,validation_scenario_exact_seed_rate,validation_scenario_mean_jaccard
logistic_regression,0,42,6.155792,"{""C"": 0.25, ""class_weight"": null, ""max_iter"": 4000}",13823,0.054981,0.843594,0.991148,0.134004,0.043727,0.94508,0.84878,0.736842,0.81434,0.272727,0.811478
logistic_regression,1,42,6.028336,"{""C"": 0.25, ""class_weight"": ""balanced"", ""max_iter"": 4000}",13823,0.054981,0.842742,0.991114,0.134037,0.043686,0.94508,0.84878,0.736842,0.81434,0.272727,0.811478
logistic_regression,2,42,6.431144,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 4000}",13823,0.054981,0.840734,0.991712,0.116977,0.035982,0.940503,0.81331,0.665904,0.767963,0.198347,0.7618
logistic_regression,3,42,6.598252,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 4000}",13823,0.054981,0.840978,0.991744,0.117258,0.036126,0.940503,0.829329,0.697941,0.789321,0.280992,0.781543
logistic_regression,4,42,7.144,"{""C"": 4.0, ""class_weight"": null, ""max_iter"": 4000}",13823,0.054981,0.838265,0.991745,0.111397,0.031891,0.933638,0.809115,0.668192,0.765217,0.206612,0.760009
logistic_regression,5,42,7.225184,"{""C"": 4.0, ""class_weight"": ""balanced"", ""max_iter"": 4000}",13823,0.054981,0.838126,0.991787,0.111352,0.032015,0.933638,0.807971,0.663616,0.763387,0.206612,0.758356
random_forest,0,42,6.334247,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",13823,0.054981,0.860615,0.991798,0.184792,0.046046,0.913043,0.831617,0.741419,0.803204,0.338843,0.807622
random_forest,1,42,11.892838,"{""max_depth"": 6, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 200}",13823,0.054981,0.890124,0.994486,0.10044,0.031592,0.933638,0.849924,0.757437,0.820748,0.338843,0.821396
random_forest,2,42,5.939965,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 200}",13823,0.054981,0.860905,0.991818,0.184862,0.046081,0.913043,0.831617,0.741419,0.803204,0.338843,0.807622
random_forest,3,42,11.178884,"{""max_depth"": 6, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""n_estimators"": 200}",13823,0.054981,0.888319,0.994411,0.100808,0.031652,0.933638,0.849924,0.757437,0.820748,0.338843,0.821396
random_forest,4,42,6.581964,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",13823,0.054981,0.984601,0.999099,0.042066,0.011016,0.961098,0.937262,0.908467,0.928604,0.710744,0.929683
random_forest,5,42,11.796886,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 200}",13823,0.054981,0.99152,0.999522,0.024051,0.007402,0.970252,0.956903,0.942792,0.952326,0.793388,0.952479
random_forest,6,42,6.057136,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 200}",13823,0.054981,0.985823,0.999167,0.045044,0.012134,0.961098,0.942792,0.91762,0.935698,0.719008,0.936662
random_forest,7,42,11.77106,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""n_estimators"": 200}",13823,0.054981,0.992477,0.999586,0.02455,0.007555,0.97254,0.962624,0.951945,0.959191,0.826446,0.960285
random_forest,8,42,6.786159,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",13823,0.054981,0.987456,0.999272,0.016123,0.004963,0.956522,0.934592,0.908467,0.926697,0.727273,0.926928
random_forest,9,42,12.005181,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 200}",13823,0.054981,0.996356,0.999795,0.008737,0.002523,0.977117,0.966819,0.956522,0.963387,0.859504,0.963269
