system_id,system_label,scenario_id,split,goal_profile,days,shopping_mode,selected_candidate_source,model_selected,candidate_count_considered,generation_time_ms,protein_abs_gap_g,calorie_abs_gap_kcal,macro_gap_ratio_sum,estimated_basket_cost,price_per_1000_kcal,price_per_100g_protein,unique_ingredient_count,role_diversity_count,warning_count,scorer_score
heuristic_only,Heuristic Only,balanced_any:midwest:3:fresh:mixed_staples,test,maintenance,3,fresh,heuristic,0,6,58.462,3.9,79.1,7.490509,21.46,3.449662,6.026397,6,4,2,10.661014
hybrid_best,Hybrid Best Model,balanced_any:midwest:3:fresh:mixed_staples,test,maintenance,3,fresh,heuristic,0,6,382.944,3.9,79.1,7.490509,21.46,3.449662,6.026397,6,4,2,10.661014
hybrid_logistic_regression,Hybrid logistic_regression,balanced_any:midwest:3:fresh:mixed_staples,test,maintenance,3,fresh,heuristic,0,6,87.561,3.9,79.1,7.490509,21.46,3.449662,6.026397,6,4,2,10.661014
hybrid_random_forest,Hybrid random_forest,balanced_any:midwest:3:fresh:mixed_staples,test,maintenance,3,fresh,heuristic,0,6,348.577,3.9,79.1,7.490509,21.46,3.449662,6.026397,6,4,2,10.661014
hybrid_hist_gradient_boosting,Hybrid hist_gradient_boosting,balanced_any:midwest:3:fresh:mixed_staples,test,maintenance,3,fresh,heuristic,0,6,134.215,3.9,79.1,7.490509,21.46,3.449662,6.026397,6,4,2,10.661014
heuristic_only,Heuristic Only,balanced_any:new_york:5:balanced:protein_stocked,test,maintenance,5,balanced,heuristic,0,6,64.646,25.4,59.6,8.731637,43.42,4.111898,6.942757,8,4,2,2.263617
hybrid_best,Hybrid Best Model,balanced_any:new_york:5:balanced:protein_stocked,test,maintenance,5,balanced,heuristic,0,6,495.258,25.4,59.6,8.731637,43.42,4.111898,6.942757,8,4,2,2.263617
hybrid_logistic_regression,Hybrid logistic_regression,balanced_any:new_york:5:balanced:protein_stocked,test,maintenance,5,balanced,heuristic,0,6,93.227,25.4,59.6,8.731637,43.42,4.111898,6.942757,8,4,2,2.263617
hybrid_random_forest,Hybrid random_forest,balanced_any:new_york:5:balanced:protein_stocked,test,maintenance,5,balanced,heuristic,0,6,370.597,25.4,59.6,8.731637,43.42,4.111898,6.942757,8,4,2,2.263617
hybrid_hist_gradient_boosting,Hybrid hist_gradient_boosting,balanced_any:new_york:5:balanced:protein_stocked,test,maintenance,5,balanced,heuristic,0,6,129.465,25.4,59.6,8.731637,43.42,4.111898,6.942757,8,4,2,2.263617
heuristic_only,Heuristic Only,balanced_any:new_york:7:bulk:empty,test,maintenance,7,bulk,heuristic,0,6,69.275,65.7,307.1,6.773039,58.33,4.052693,7.533256,8,4,4,1.498768
hybrid_best,Hybrid Best Model,balanced_any:new_york:7:bulk:empty,test,maintenance,7,bulk,hybrid,1,6,379.55,65.7,307.1,6.773039,58.33,4.052693,7.533256,8,4,4,1.498768
hybrid_logistic_regression,Hybrid logistic_regression,balanced_any:new_york:7:bulk:empty,test,maintenance,7,bulk,hybrid,1,6,83.582,65.7,307.1,6.773039,58.33,4.052693,7.533256,8,4,4,1.498768
hybrid_random_forest,Hybrid random_forest,balanced_any:new_york:7:bulk:empty,test,maintenance,7,bulk,hybrid,1,6,352.651,65.7,307.1,6.773039,58.33,4.052693,7.533256,8,4,4,1.498768
hybrid_hist_gradient_boosting,Hybrid hist_gradient_boosting,balanced_any:new_york:7:bulk:empty,test,maintenance,7,bulk,hybrid,1,6,118.402,65.7,307.1,6.773039,58.33,4.052693,7.533256,8,4,4,1.498768
