label_role,feature_name,coefficient
calorie_booster,fat,0.652333
calorie_booster,energy_fibre_kcal,0.60658
calorie_booster,meal_tag_snack,0.569004
calorie_booster,purchase_unit=jar,0.40111
calorie_booster,food_family=fat,0.379522
calorie_booster,shelf_stability=ambient,0.356453
calorie_booster,regional_price_low,0.349162
calorie_booster,prep_level=none,0.343465
calorie_booster,protein_density_score,0.303566
calorie_booster,protein,0.302238
calorie_booster,food_family=dairy,0.260371
calorie_booster,regional_price_high,0.260028
carb_base,food_family=grain,0.758888
carb_base,microwave_friendly,0.713067
carb_base,shelf_stability=stable,0.506465
carb_base,shelf_stable,0.506465
carb_base,carbohydrate,0.462488
carb_base,meal_tag_lunch,0.390961
carb_base,prep_level=medium,0.288246
carb_base,meal_tag_dinner,0.231967
carb_base,purchase_unit=can,0.210658
carb_base,purchase_unit=box,0.177584
carb_base,vegan,0.153568
carb_base,fiber,0.145967
produce,food_family=produce,0.852264
produce,meal_tag_side,0.852264
produce,vitamin_c_score,0.457385
produce,commonality_rank,0.453775
produce,vegan,0.369312
produce,meal_tag_snack,0.338267
produce,vitamin_c,0.327437
produce,dairy_free,0.32038
produce,breakfast_friendly,0.254865
produce,budget_score,0.251343
produce,purchase_unit=bunch,0.202848
produce,cold_only,0.196908
protein_anchor,high_protein,1.308167
protein_anchor,cold_only,0.44875
protein_anchor,shelf_stability=chilled,0.44875
protein_anchor,food_family=legume,0.448061
protein_anchor,meal_tag_lunch,0.390587
protein_anchor,meal_tag_dinner,0.376884
protein_anchor,food_family=protein,0.324828
protein_anchor,default_serving_g,0.302408
protein_anchor,prep_level=none,0.266632
protein_anchor,purchase_unit=tub,0.262646
protein_anchor,purchase_unit=gallon,0.241785
protein_anchor,breakfast_friendly,0.229188
