feature_name,importance
repetition_penalty,0.579076
unrealistic_basket_penalty,0.121537
estimated_protein_g,0.077992
heuristic_selection_score,0.052223
alternative_quality_score,0.0425
estimated_basket_cost,0.024483
price_per_1000_kcal,0.020373
produce_count,0.014479
target_calorie_kcal,0.013889
estimated_calorie_kcal,0.010339
protein_gap_delta_vs_best_heuristic,0.009454
macro_gap_ratio_sum,0.003475
estimated_carbohydrate_g,0.003221
meal_style=lunch_dinner,0.002977
goal_profile=fat_loss,0.002966
target_protein_g,0.002699
vitamin_c_abs_gap_mg,0.002358
scaling_note_count,0.001818
estimated_iron_mg,0.001789
calorie_gap_delta_vs_best_heuristic,0.00177
iron_abs_gap_mg,0.001517
protein_abs_gap_g,0.001508
preference_match_score,0.001465
estimated_fat_g,0.001446
estimated_vitamin_c_mg,0.001063
protein_gap_ratio,0.00079
role_diversity_count,0.00042
carbohydrate_abs_gap_g,0.000375
calorie_booster_count,0.000333
calorie_abs_gap_kcal,0.000276
protein_anchor_count,0.000212
calorie_gap_ratio,0.000202
price_per_100g_protein,0.000151
repetition_penalty_delta_vs_best_heuristic,0.000142
warning_count,0.000128
nearby_store_count,0.00011
cost_delta_vs_best_heuristic,9.3e-05
macro_gap_ratio_delta_vs_best_heuristic,8.4e-05
estimated_calcium_mg,6.8e-05
fat_abs_gap_g,5.8e-05
overlap_with_best_heuristic_jaccard,5e-05
calcium_abs_gap_mg,1.6e-05
changed_food_count_vs_best_heuristic,1.2e-05
unrealistic_penalty_delta_vs_best_heuristic,1.2e-05
goal_profile=maintenance,1.2e-05
estimated_fiber_g,1e-05
fiber_abs_gap_g,1e-05
shopping_mode=fresh,7e-06
preference_match_delta_vs_best_heuristic,5e-06
unique_ingredient_count,4e-06
low_prep_preference,1e-06
role_diversity_delta_vs_best_heuristic,1e-06
materially_different_from_best_heuristic,1e-06
cost_competitive_with_best_heuristic,1e-06
vegetarian_preference,1e-06
nutritionally_competitive_with_best_heuristic,0.0
realism_note_count,0.0
meal_style=breakfast,0.0
diversity_gain_vs_best_heuristic,0.0
adjusted_by_split,0.0
budget_friendly_preference,0.0
carb_base_count,0.0
dairy_free_preference,0.0
days,0.0
diversity_improved_vs_best_heuristic,0.0
food_family_diversity_count,0.0
goal_profile=budget_friendly_healthy,0.0
goal_profile=generic_balanced,0.0
goal_profile=high_protein_vegetarian,0.0
goal_profile=muscle_gain,0.0
has_price_estimate,0.0
meal_style=any,0.0
meal_style=snack,0.0
pantry_note_count,0.0
priced_item_ratio,0.0
role_assignment_changes_vs_best_heuristic,0.0
shopping_mode=balanced,0.0
shopping_mode=bulk,0.0
vegan_preference,0.0
