scenario_id,preset_id,preset_label,variant_id,variant_label,location_label,heuristic_selected_source,final_selected_source,selected_candidate_source_changed,heuristic_scorer_score,final_scorer_score,score_delta_vs_heuristic,heuristic_protein_gap_g,final_protein_gap_g,protein_gap_delta_vs_heuristic,heuristic_calorie_gap_kcal,final_calorie_gap_kcal,calorie_gap_delta_vs_heuristic,heuristic_estimated_basket_cost,final_estimated_basket_cost,cost_delta_vs_heuristic,materially_different,difference_summary,brittle_case
muscle_gain__base,muscle_gain,Muscle Gain,base,Base preset,"Mountain View, CA",heuristic,model,1,10.926954,11.081449,0.154495,4.8,0.2,-4.6,29.5,104.5,75.0,9.67,9.37,-0.3,1,Large basket change,0
muscle_gain__targets_plus_5pct,muscle_gain,Muscle Gain,targets_plus_5pct,Targets +5%,"Mountain View, CA",heuristic,heuristic,0,10.862607,10.862607,0.0,2.3,2.3,0.0,74.1,74.1,0.0,9.73,9.73,0.0,0,Same basket,0
muscle_gain__targets_minus_5pct,muscle_gain,Muscle Gain,targets_minus_5pct,Targets -5%,"Mountain View, CA",heuristic,heuristic,0,11.172421,11.172421,0.0,5.9,5.9,0.0,138.1,138.1,0.0,9.2,9.2,0.0,0,Same basket,0
muscle_gain__days3_fresh,muscle_gain,Muscle Gain,days3_fresh,3 days / fresh,"Mountain View, CA",heuristic,model,1,8.560735,9.076514,0.515779,13.5,7.2,-6.3,281.9,286.6,4.7,26.29,28.2,1.91,1,"Same basket structure, different produce",0
muscle_gain__days3_bulk,muscle_gain,Muscle Gain,days3_bulk,3 days / bulk,"Mountain View, CA",heuristic,model,1,9.146294,9.335857,0.189563,10.8,0.8,-10.0,41.1,0.0,-41.1,28.88,29.4,0.52,1,Large basket change,0
muscle_gain__alternate_location,muscle_gain,Muscle Gain,alternate_location,Alternate location,"Sacramento, CA",heuristic,model,1,11.042047,11.17522,0.133173,4.8,0.2,-4.6,29.5,104.5,75.0,9.67,9.37,-0.3,1,Large basket change,0
fat_loss__base,fat_loss,Fat Loss,base,Base preset,"Mountain View, CA",heuristic,heuristic,0,9.130643,9.130643,0.0,3.9,3.9,0.0,422.0,422.0,0.0,11.07,11.07,0.0,0,Same basket,0
fat_loss__targets_plus_5pct,fat_loss,Fat Loss,targets_plus_5pct,Targets +5%,"Mountain View, CA",heuristic,heuristic,0,9.064244,9.064244,0.0,0.5,0.5,0.0,469.9,469.9,0.0,12.18,12.18,0.0,0,Same basket,0
fat_loss__targets_minus_5pct,fat_loss,Fat Loss,targets_minus_5pct,Targets -5%,"Mountain View, CA",heuristic,heuristic,0,9.126385,9.126385,0.0,1.5,1.5,0.0,449.4,449.4,0.0,9.58,9.58,0.0,0,Same basket,0
fat_loss__days3_fresh,fat_loss,Fat Loss,days3_fresh,3 days / fresh,"Mountain View, CA",heuristic,heuristic,0,7.33712,7.33712,0.0,23.1,23.1,0.0,324.7,324.7,0.0,34.8,34.8,0.0,0,Same basket,0
