feature_name,importance
repetition_penalty,0.698357
estimated_basket_cost,0.099922
produce_count,0.051575
unrealistic_basket_penalty,0.049915
alternative_quality_score,0.020009
estimated_calorie_kcal,0.015806
changed_food_count_vs_best_heuristic,0.008681
protein_abs_gap_g,0.007604
unrealistic_penalty_delta_vs_best_heuristic,0.006808
scaling_note_count,0.006023
overlap_with_best_heuristic_jaccard,0.004635
high_volume_produce_count,0.004528
protein_gap_ratio,0.003863
estimated_vitamin_c_mg,0.003776
macro_gap_ratio_delta_vs_best_heuristic,0.003685
vitamin_c_abs_gap_mg,0.002332
calorie_gap_delta_vs_best_heuristic,0.001686
preference_match_score,0.001673
cost_delta_vs_best_heuristic,0.001465
macro_gap_ratio_sum,0.001447
target_protein_g,0.001153
unique_ingredient_count,0.000622
heuristic_selection_score,0.000547
price_per_100g_protein,0.000358
repetition_penalty_delta_vs_best_heuristic,0.000308
calorie_booster_share,0.000306
iron_abs_gap_mg,0.000299
animal_protein_anchor_count,0.000273
calorie_abs_gap_kcal,0.000273
goal_structure_alignment_score,0.000222
estimated_protein_g,0.000208
estimated_calcium_mg,0.000191
preference_match_delta_vs_best_heuristic,0.000164
estimated_fat_g,0.000153
protein_anchor_share,0.000138
calorie_gap_ratio,0.00013
low_cost_produce_count,0.000117
protein_gap_delta_vs_best_heuristic,0.000101
carb_base_share,6.9e-05
food_family_diversity_count,6.1e-05
carbohydrate_abs_gap_g,6e-05
produce_share,5.9e-05
target_calorie_kcal,5.7e-05
fiber_abs_gap_g,5.1e-05
fat_abs_gap_g,4.5e-05
estimated_iron_mg,4.1e-05
price_per_1000_kcal,3.3e-05
nearby_store_count,3.1e-05
role_diversity_count,2.3e-05
estimated_fiber_g,1.7e-05
estimated_carbohydrate_g,1.6e-05
goal_profile=budget_friendly_healthy,1.4e-05
calcium_abs_gap_mg,1.4e-05
dairy_or_egg_anchor_count,1.3e-05
role_share_gap_total,1e-05
diversity_gain_vs_best_heuristic,1e-05
role_diversity_delta_vs_best_heuristic,1e-05
warning_count,9e-06
shopping_mode=fresh,2e-06
nutritionally_competitive_with_best_heuristic,1e-06
materially_different_from_best_heuristic,0.0
cost_competitive_with_best_heuristic,0.0
soy_protein_anchor_count,0.0
realism_note_count,0.0
shopping_mode=bulk,0.0
lean_protein_anchor_count,0.0
adjusted_by_split,0.0
budget_friendly_preference,0.0
budget_support_anchor_count,0.0
calorie_booster_count,0.0
carb_base_count,0.0
dairy_free_preference,0.0
days,0.0
diversity_improved_vs_best_heuristic,0.0
fruit_produce_count,0.0
goal_profile=fat_loss,0.0
goal_profile=generic_balanced,0.0
goal_profile=high_protein_vegetarian,0.0
goal_profile=maintenance,0.0
goal_profile=muscle_gain,0.0
has_price_estimate,0.0
legume_protein_anchor_count,0.0
low_prep_preference,0.0
meal_style=any,0.0
meal_style=breakfast,0.0
meal_style=lunch_dinner,0.0
meal_style=snack,0.0
pantry_note_count,0.0
priced_item_ratio,0.0
protein_anchor_count,0.0
protein_anchor_family_diversity,0.0
role_assignment_changes_vs_best_heuristic,0.0
shopping_mode=balanced,0.0
vegan_preference,0.0
vegetarian_preference,0.0
vegetarian_protein_anchor_count,0.0
