request_id,candidate_id,baseline_candidate_id,candidate_source,label_score,days,target_protein_g,target_calorie_kcal,estimated_protein_g,estimated_calorie_kcal,estimated_carbohydrate_g,estimated_fat_g,estimated_fiber_g,estimated_calcium_mg,estimated_iron_mg,estimated_vitamin_c_mg,protein_abs_gap_g,calorie_abs_gap_kcal,carbohydrate_abs_gap_g,fat_abs_gap_g,fiber_abs_gap_g,calcium_abs_gap_mg,iron_abs_gap_mg,vitamin_c_abs_gap_mg,protein_gap_ratio,calorie_gap_ratio,macro_gap_ratio_sum,estimated_basket_cost,price_per_1000_kcal,price_per_100g_protein,priced_item_ratio,unique_ingredient_count,protein_anchor_count,carb_base_count,produce_count,calorie_booster_count,goal_structure_alignment_score,role_share_gap_total,protein_anchor_share,carb_base_share,produce_share,calorie_booster_share,protein_anchor_family_diversity,animal_protein_anchor_count,lean_protein_anchor_count,vegetarian_protein_anchor_count,legume_protein_anchor_count,soy_protein_anchor_count,dairy_or_egg_anchor_count,budget_support_anchor_count,fruit_produce_count,high_volume_produce_count,low_cost_produce_count,food_family_diversity_count,role_diversity_count,repetition_penalty,unrealistic_basket_penalty,preference_match_score,heuristic_selection_score,overlap_with_best_heuristic_jaccard,changed_food_count_vs_best_heuristic,role_assignment_changes_vs_best_heuristic,cost_delta_vs_best_heuristic,protein_gap_delta_vs_best_heuristic,calorie_gap_delta_vs_best_heuristic,macro_gap_ratio_delta_vs_best_heuristic,diversity_gain_vs_best_heuristic,role_diversity_delta_vs_best_heuristic,repetition_penalty_delta_vs_best_heuristic,unrealistic_penalty_delta_vs_best_heuristic,preference_match_delta_vs_best_heuristic,alternative_quality_score,nearby_store_count,warning_count,realism_note_count,pantry_note_count,scaling_note_count,adjusted_by_split,has_price_estimate,budget_friendly_preference,low_prep_preference,vegetarian_preference,vegan_preference,dairy_free_preference,materially_different_from_best_heuristic,nutritionally_competitive_with_best_heuristic,cost_competitive_with_best_heuristic,diversity_improved_vs_best_heuristic,goal_profile,shopping_mode,meal_style
balanced_any:us:1:balanced,candidate_00,candidate_02,heuristic,10.454325,1,120.0,2100.0,120.0,2106.4,180.9,90.2,42.8,581.7,21.9,649.9,0.0,6.400000000000091,49.099999999999994,20.200000000000003,12.799999999999997,418.29999999999995,3.8999999999999986,559.9,0.0,0.003047619047619091,7.784794133885438,8.79,4.172996581845802,7.324999999999999,1.0,6,2,1,2,1,0.651214,0.330578,0.225123,0.377564,0.119588,0.277725,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4,4,3.982804,0.0,0.0,75.178064,0.714286,2,0,1.06,-0.8,-2.2,0.621114,0.0,0.0,0.0,0.0,0.0,0.773026,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,maintenance,balanced,any
balanced_any:us:1:balanced,candidate_01,candidate_02,heuristic,10.382358,1,120.0,2100.0,122.7,2125.3,168.4,98.3,36.2,561.1,25.4,648.2,2.700000000000003,25.300000000000182,61.599999999999994,28.299999999999997,6.200000000000003,438.9,7.399999999999999,558.2,0.022500000000000023,0.012047619047619135,7.931011801242237,8.13,3.825342304615819,6.625916870415648,1.0,6,2,1,2,1,0.647342,0.336709,0.223121,0.383099,0.118524,0.275255,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4,4,3.982804,0.0,0.0,75.127058,0.714286,2,0,0.4,1.9,16.7,0.767332,0.0,0.0,0.0,0.0,0.0,0.766956,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,maintenance,balanced,any
balanced_any:us:1:balanced,candidate_02,candidate_02,heuristic,9.749767,1,120.0,2100.0,120.8,2091.4,214.3,78.0,22.5,532.2,18.7,650.2,0.7999999999999972,8.599999999999909,15.699999999999989,8.0,7.5,467.79999999999995,0.6999999999999993,560.2,0.006666666666666643,0.004095238095238052,7.1636799171842656,7.73,3.6960887443817536,6.3990066225165565,1.0,6,2,1,2,1,0.693777,0.263187,0.257961,0.38491,0.120446,0.236684,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4,4,3.982804,0.0,0.0,74.404529,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,maintenance,balanced,any
balanced_any:us:1:balanced,candidate_03,candidate_02,heuristic,10.339093,1,120.0,2100.0,119.0,2064.2,178.5,87.0,42.8,710.2,24.9,652.8,1.0,35.80000000000018,51.5,17.0,12.799999999999997,289.79999999999995,6.899999999999999,562.8,0.008333333333333333,0.017047619047619134,7.8199035196687365,9.04,4.379420598779188,7.5966386554621845,1.0,6,2,1,2,1,0.689367,0.270169,0.252882,0.385282,0.122033,0.239802,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,4,4,3.922913,0.0,0.0,74.145518,0.5,4,0,1.31,0.2,27.2,0.656224,0.0,0.0,-0.059891,0.0,0.0,0.674229,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,maintenance,balanced,any
balanced_any:us:1:balanced,candidate_04,candidate_02,heuristic,10.378727,1,120.0,2100.0,120.6,2125.4,181.7,92.4,42.8,806.8,27.0,642.0,0.5999999999999943,25.40000000000009,48.30000000000001,22.400000000000006,12.799999999999997,193.20000000000005,9.0,552.0,0.004999999999999952,0.012095238095238138,7.783200000000001,8.82,4.149807095135033,7.313432835820896,1.0,6,2,1,2,1,0.769708,0.142962,0.337913,0.374188,0.118519,0.16938,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,4,4,4.089201,0.0,0.0,74.132266,0.5,4,0,1.09,-0.2,16.8,0.61952,0.0,0.0,0.106397,0.0,0.0,0.735356,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,maintenance,balanced,any
balanced_any:us:1:balanced,candidate_05,candidate_02,heuristic,10.595692,1,120.0,2100.0,119.4,2117.1,166.0,99.9,36.2,689.2,28.4,650.6,0.5999999999999943,17.09999999999991,64.0,29.900000000000006,6.200000000000003,310.79999999999995,10.399999999999999,560.6,0.004999999999999952,0.0081428571428571,8.029537060041408,8.34,3.9393509990080773,6.984924623115578,1.0,6,2,1,2,1,0.67097,0.299297,0.241368,0.384583,0.118984,0.255066,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,4,4,3.922913,0.0,0.0,74.094512,0.5,4,0,0.61,-0.2,8.5,0.865857,0.0,0.0,-0.059891,0.0,0.0,0.839625,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,maintenance,balanced,any
balanced_any:us:1:balanced,candidate_06,candidate_02,heuristic,10.286404,1,120.0,2100.0,123.3,2144.3,169.2,100.4,36.2,786.2,30.5,640.4,3.299999999999997,44.30000000000018,60.80000000000001,30.400000000000006,6.200000000000003,213.79999999999995,12.5,550.4,0.027499999999999976,0.02109523809523818,7.929100207039337,8.16,3.8054376719675416,6.6180048661800495,1.0,6,2,1,2,1,0.768389,0.145051,0.334934,0.379704,0.117474,0.167887,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,4,4,4.089201,0.0,0.0,74.08126,0.5,4,0,0.43,2.5,35.7,0.76542,0.0,0.0,0.106397,0.0,0.0,0.707442,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,maintenance,balanced,any
balanced_any:us:1:balanced,candidate_07,candidate_02,heuristic,10.2288,1,120.0,2100.0,117.6,2048.2,178.8,85.9,42.8,785.0,26.5,649.9,2.4000000000000057,51.80000000000018,51.19999999999999,15.900000000000006,12.799999999999997,215.0,8.5,559.9,0.02000000000000005,0.024666666666666753,7.784751552795031,8.99,4.3892198027536375,7.644557823129253,1.0,6,2,1,2,1,0.738703,0.192054,0.290987,0.388292,0.122986,0.197735,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,4,4,3.922913,0.0,0.0,74.065518,0.5,4,0,1.26,1.6,43.2,0.621072,0.0,0.0,-0.059891,0.0,0.0,0.604902,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,maintenance,balanced,any
balanced_any:us:1:balanced,candidate_08,candidate_02,model,9.30313,1,120.0,2100.0,126.0,2016.3,195.0,70.8,43.9,799.8,32.9,810.4,6.0,83.70000000000005,35.0,0.7999999999999972,13.899999999999999,200.20000000000005,14.899999999999999,720.4,0.05,0.039857142857142876,9.659358040027604,11.14,5.524971482418292,8.841269841269842,1.0,6,2,1,2,1,0.845017,0.245389,0.231856,0.456471,0.15545,0.156224,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,4,4,3.935016,0.0,0.0,73.675612,0.5,4,0,3.41,5.2,75.1,2.495678,0.0,0.0,-0.047788,0.0,0.0,-0.058944,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,maintenance,balanced,any
balanced_any:us:1:balanced,candidate_09,candidate_02,model,8.218251,1,120.0,2100.0,126.9,2009.0,185.9,74.8,42.8,1139.9,39.9,799.4,6.900000000000006,91.0,44.099999999999994,4.799999999999997,12.799999999999997,139.9000000000001,21.9,709.4,0.057500000000000044,0.043333333333333335,9.925766114561766,11.75,5.84868093578895,9.259259259259258,1.0,5,2,1,2,0,0.894344,0.119789,0.421097,0.422889,0.156015,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,3,3,4.324268,0.0,0.0,72.26696,0.222222,7,0,4.02,6.1,82.4,2.762086,-1.0,-1.0,0.341464,0.0,0.0,-0.207752,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,maintenance,balanced,any
