series_id,series_title,observed_year,observed_month,period,period_name,observed_at,cpi_value,footnotes_json
CUUR0000SAF11,"Consumer Price Index for All Urban Consumers (CPI-U): Food at home in U.S. city average, all urban consumers, not seasonally adjusted",2012,1,M01,January,2012-01,231.694,[{}]
CUUR0000SAF11,"Consumer Price Index for All Urban Consumers (CPI-U): Food at home in U.S. city average, all urban consumers, not seasonally adjusted",2012,2,M02,February,2012-02,231.18,[{}]
CUUR0000SAF11,"Consumer Price Index for All Urban Consumers (CPI-U): Food at home in U.S. city average, all urban consumers, not seasonally adjusted",2012,3,M03,March,2012-03,231.383,[{}]
CUUR0000SAF11,"Consumer Price Index for All Urban Consumers (CPI-U): Food at home in U.S. city average, all urban consumers, not seasonally adjusted",2012,4,M04,April,2012-04,231.711,[{}]
CUUR0000SAF11,"Consumer Price Index for All Urban Consumers (CPI-U): Food at home in U.S. city average, all urban consumers, not seasonally adjusted",2012,5,M05,May,2012-05,231.518,[{}]
CUUR0000SAF11,"Consumer Price Index for All Urban Consumers (CPI-U): Food at home in U.S. city average, all urban consumers, not seasonally adjusted",2012,6,M06,June,2012-06,231.515,[{}]
CUUR0000SAF11,"Consumer Price Index for All Urban Consumers (CPI-U): Food at home in U.S. city average, all urban consumers, not seasonally adjusted",2012,7,M07,July,2012-07,231.306,[{}]
CUUR0000SAF11,"Consumer Price Index for All Urban Consumers (CPI-U): Food at home in U.S. city average, all urban consumers, not seasonally adjusted",2012,8,M08,August,2012-08,231.708,[{}]
CUUR0000SAF11,"Consumer Price Index for All Urban Consumers (CPI-U): Food at home in U.S. city average, all urban consumers, not seasonally adjusted",2012,9,M09,September,2012-09,231.615,[{}]
CUUR0000SAF11,"Consumer Price Index for All Urban Consumers (CPI-U): Food at home in U.S. city average, all urban consumers, not seasonally adjusted",2012,10,M10,October,2012-10,232.456,[{}]
CUUR0000SAF11,"Consumer Price Index for All Urban Consumers (CPI-U): Food at home in U.S. city average, all urban consumers, not seasonally adjusted",2012,11,M11,November,2012-11,232.295,[{}]
CUUR0000SAF11,"Consumer Price Index for All Urban Consumers (CPI-U): Food at home in U.S. city average, all urban consumers, not seasonally adjusted",2012,12,M12,December,2012-12,232.901,[{}]
CUUR0000SAF11,"Consumer Price Index for All Urban Consumers (CPI-U): Food at home in U.S. city average, all urban consumers, not seasonally adjusted",2013,1,M01,January,2013-01,234.24,[{}]
CUUR0000SAF11,"Consumer Price Index for All Urban Consumers (CPI-U): Food at home in U.S. city average, all urban consumers, not seasonally adjusted",2013,2,M02,February,2013-02,234.033,[{}]
CUUR0000SAF11,"Consumer Price Index for All Urban Consumers (CPI-U): Food at home in U.S. city average, all urban consumers, not seasonally adjusted",2013,3,M03,March,2013-03,233.777,[{}]
CUUR0000SAF11,"Consumer Price Index for All Urban Consumers (CPI-U): Food at home in U.S. city average, all urban consumers, not seasonally adjusted",2013,4,M04,April,2013-04,234.082,[{}]
